failure_id,machine_id,failure_date,failure_mode,downtime_hrs,repair_hrs,technician_id,root_cause,corrective_action,component,failure_type,technician_type,part_replaced,part_cost_usd,part_lead_time_days,time_to_diagnose_hrs
F00020,CNC-A1,2025-01-19,Drive fault,1.04,1.37,TECH-001,Contamination,Operator retraining,servo_drive,electrical,electrical,servo_driver_board,961.87,8,0.38
F00021,CNC-A1,2025-01-20,Coolant leak,2.63,1.23,TECH-004,Lack of preventive maintenance,Recalibration,coolant_system,hydraulic,hydraulic,coolant_pump_seal,40.39,3,0.22
F00022,CNC-A1,2025-02-22,Axis calibration error,1.98,1.46,TECH-002,Component wear,Recalibration,servo_drive,software,automation,encoder_sensor,174.75,3,0.64
F00023,CNC-A1,2025-03-11,Drive fault,2.06,1.44,TECH-007,Material defect,Design modification,servo_drive,electrical,electrical,servo_driver_board,1035.55,10,0.52
F00024,CNC-A1,2025-04-02,Axis calibration error,1.54,1.06,TECH-006,Calibration drift,Design modification,servo_drive,software,automation,encoder_sensor,103.87,5,0.34
F00025,CNC-A1,2025-04-11,Tool breakage,1.8,1.61,TECH-004,Material defect,Part replacement,tool_changer,mechanical,mechanical,tool_insert_set,91.81,2,0.17
F00026,CNC-A1,2025-04-12,Tool breakage,1.58,1.34,TECH-006,Operator error,Design modification,tool_changer,mechanical,mechanical,tool_insert_set,100.02,2,0.15
F00027,CNC-A1,2025-04-16,Spindle fault,1.65,1.32,TECH-008,Material defect,Operator retraining,spindle,mechanical,mechanical,spindle_bearing,263.93,3,0.26
F00028,CNC-A2,2024-01-04,Axis calibration error,1.75,1.35,TECH-007,Calibration drift,Vendor notified,servo_drive,software,automation,encoder_sensor,89.16,5,0.52
F00029,CNC-A2,2024-01-05,Tool breakage,1.14,0.92,TECH-007,Contamination,Part replacement,tool_changer,mechanical,mechanical,tool_insert_set,53.24,1,0.12
F00030,CNC-A2,2024-01-09,Axis calibration error,1.58,1.44,TECH-003,Design limitation,Operator retraining,servo_drive,software,automation,encoder_sensor,116.58,5,0.45
F00031,CNC-A2,2024-01-13,Drive fault,1.79,1.08,TECH-002,Lack of preventive maintenance,Vendor notified,servo_drive,electrical,electrical,servo_driver_board,661.04,14,0.41
F00032,CNC-A2,2024-04-30,Spindle fault,1.93,0.66,TECH-003,Overloading,Operator retraining,spindle,mechanical,mechanical,spindle_bearing,264.83,4,0.18
F00033,CNC-A2,2024-05-09,Spindle fault,1.95,0.81,TECH-007,Lack of preventive maintenance,Operator retraining,spindle,mechanical,mechanical,spindle_bearing,292.72,5,0.22
F00034,CNC-A2,2024-05-13,Axis calibration error,1.52,0.94,TECH-008,Component wear,Recalibration,servo_drive,software,automation,encoder_sensor,107.54,5,0.29
F00035,CNC-A2,2024-05-18,Drive fault,1.9,1.14,TECH-001,Contamination,Part replacement,servo_drive,electrical,electrical,servo_driver_board,517.54,12,0.39
F00036,CNC-A2,2024-05-19,Drive fault,0.64,1.28,TECH-003,Lack of preventive maintenance,Design modification,servo_drive,electrical,electrical,servo_driver_board,570.95,12,0.45
F00037,CNC-A2,2024-05-20,Spindle fault,1.63,1.5,TECH-007,Operator error,Design modification,spindle,mechanical,mechanical,spindle_bearing,159.6,5,0.33
F00038,CNC-A2,2024-05-24,Axis calibration error,1.03,1.01,TECH-006,Design limitation,Recalibration,servo_drive,software,automation,encoder_sensor,136.44,6,0.36
F00039,CNC-A2,2024-06-09,Spindle fault,1.33,1.37,TECH-005,Calibration drift,PM schedule updated,spindle,mechanical,mechanical,spindle_bearing,283.87,6,0.22
F00040,CNC-A2,2024-07-18,Drive fault,1.49,1.19,TECH-002,Operator error,Design modification,servo_drive,electrical,electrical,servo_driver_board,538.5,8,0.53
F00041,CNC-A2,2024-07-21,Tool breakage,1.36,1.76,TECH-004,Contamination,PM schedule updated,tool_changer,mechanical,mechanical,tool_insert_set,112.23,2,0.13
F00042,CNC-A2,2024-07-23,Drive fault,1.72,0.88,TECH-001,Design limitation,Vendor notified,servo_drive,electrical,electrical,servo_driver_board,1176.88,11,0.36
F00043,CNC-A2,2024-07-24,Tool breakage,1.64,1.07,TECH-003,Design limitation,PM schedule updated,tool_changer,mechanical,mechanical,tool_insert_set,95.94,3,0.08
F00044,CNC-A2,2024-08-06,Coolant leak,1.39,1.04,TECH-008,Design limitation,Part replacement,coolant_system,hydraulic,hydraulic,coolant_pump_seal,33.98,2,0.2
F00045,CNC-A2,2024-08-07,Tool breakage,1.18,1.29,TECH-006,Component wear,Vendor notified,tool_changer,mechanical,mechanical,tool_insert_set,73.74,3,0.1
F00046,CNC-A2,2024-10-04,Axis calibration error,1.65,1.42,TECH-001,Operator error,Part replacement,servo_drive,software,automation,encoder_sensor,163.19,4,0.48
F00047,CNC-A2,2024-11-16,Tool breakage,1.37,1.07,TECH-006,Component wear,Operator retraining,tool_changer,mechanical,mechanical,tool_insert_set,107.81,1,0.13
F00048,CNC-A2,2024-11-18,Tool breakage,1.16,1.68,TECH-006,Material defect,Vendor notified,tool_changer,mechanical,mechanical,tool_insert_set,71.73,3,0.19
F00049,CNC-A2,2024-11-22,Axis calibration error,1.94,1.45,TECH-003,Material defect,Recalibration,servo_drive,software,automation,encoder_sensor,163.85,3,0.46
F00050,CNC-A2,2025-01-17,Tool breakage,1.72,0.74,TECH-003,Contamination,Operator retraining,tool_changer,mechanical,mechanical,tool_insert_set,70.34,2,0.04
F00051,CNC-A2,2025-02-10,Coolant leak,1.87,0.87,TECH-003,Operator error,Operator retraining,coolant_system,hydraulic,hydraulic,coolant_pump_seal,58.63,1,0.1
F00052,CNC-A2,2025-03-12,Axis calibration error,1.6,1.07,TECH-006,Design limitation,Recalibration,servo_drive,software,automation,encoder_sensor,98.96,4,0.45
F00053,CNC-A2,2025-03-15,Coolant leak,1.25,1.0,TECH-002,Design limitation,PM schedule updated,coolant_system,hydraulic,hydraulic,coolant_pump_seal,38.58,1,0.16
F00054,CNC-A2,2025-03-30,Drive fault,0.62,1.6,TECH-006,Lack of preventive maintenance,Part replacement,servo_drive,electrical,electrical,servo_driver_board,710.15,14,0.59
F00055,CNC-A3,2024-01-06,Tool breakage,0.5,0.72,TECH-002,Overloading,PM schedule updated,tool_changer,mechanical,mechanical,tool_insert_set,36.94,1,0.07
F00056,CNC-A3,2024-01-27,Drive fault,1.04,1.25,TECH-002,Overloading,Design modification,servo_drive,electrical,electrical,servo_driver_board,1037.05,14,0.33
F00057,CNC-A3,2024-01-30,Drive fault,1.51,1.06,TECH-004,Contamination,Operator retraining,servo_drive,electrical,electrical,servo_driver_board,814.99,11,0.46
F00058,CNC-A3,2024-01-31,Coolant leak,1.06,0.85,TECH-002,Design limitation,Design modification,coolant_system,hydraulic,hydraulic,coolant_pump_seal,63.45,2,0.13
F00059,CNC-A3,2024-02-06,Coolant leak,0.94,1.11,TECH-003,Material defect,Operator retraining,coolant_system,hydraulic,hydraulic,coolant_pump_seal,44.55,3,0.17
F00060,CNC-A3,2024-02-24,Spindle fault,0.84,1.23,TECH-005,Overloading,Design modification,spindle,mechanical,mechanical,spindle_bearing,234.12,4,0.19
F00061,CNC-A3,2024-03-24,Drive fault,1.13,1.13,TECH-006,Calibration drift,Operator retraining,servo_drive,electrical,electrical,servo_driver_board,1069.72,5,0.31
F00062,CNC-A3,2024-04-02,Spindle fault,1.28,1.22,TECH-002,Design limitation,Design modification,spindle,mechanical,mechanical,spindle_bearing,264.05,8,0.2
F00063,CNC-A3,2024-04-20,Spindle fault,1.1,0.94,TECH-005,Material defect,Recalibration,spindle,mechanical,mechanical,spindle_bearing,294.78,3,0.23
F00064,CNC-A3,2024-04-22,Drive fault,2.03,1.16,TECH-002,Calibration drift,Operator retraining,servo_drive,electrical,electrical,servo_driver_board,995.25,7,0.47
F00065,CNC-A3,2024-05-28,Axis calibration error,0.78,0.85,TECH-008,Overloading,Recalibration,servo_drive,software,automation,encoder_sensor,99.55,6,0.29
F00066,CNC-A3,2024-05-30,Tool breakage,0.96,0.61,TECH-007,Material defect,Recalibration,tool_changer,mechanical,mechanical,tool_insert_set,38.18,3,0.06
F00067,CNC-A3,2024-06-26,Drive fault,1.09,0.79,TECH-004,Operator error,Operator retraining,servo_drive,electrical,electrical,servo_driver_board,728.19,8,0.33
F00068,CNC-A3,2024-06-28,Drive fault,0.84,1.05,TECH-006,Calibration drift,Design modification,servo_drive,electrical,electrical,servo_driver_board,687.85,13,0.46
F00069,CNC-A3,2024-07-26,Drive fault,1.45,0.87,TECH-008,Component wear,Vendor notified,servo_drive,electrical,electrical,servo_driver_board,668.19,11,0.26
F00070,CNC-A3,2024-08-27,Coolant leak,0.72,1.1,TECH-008,Material defect,PM schedule updated,coolant_system,hydraulic,hydraulic,coolant_pump_seal,86.03,2,0.13
F00071,CNC-A3,2024-09-05,Coolant leak,1.15,0.86,TECH-006,Operator error,Recalibration,coolant_system,hydraulic,hydraulic,coolant_pump_seal,30.78,1,0.17
F00072,CNC-A3,2024-09-07,Spindle fault,1.07,1.08,TECH-002,Overloading,Operator retraining,spindle,mechanical,mechanical,spindle_bearing,351.84,5,0.28
F00073,CNC-A3,2024-09-13,Axis calibration error,1.09,1.02,TECH-007,Lack of preventive maintenance,Design modification,servo_drive,software,automation,encoder_sensor,205.26,4,0.41
F00074,CNC-A3,2024-09-20,Axis calibration error,1.48,1.01,TECH-007,Material defect,Operator retraining,servo_drive,software,automation,encoder_sensor,127.65,7,0.46
F00075,CNC-A3,2024-09-24,Coolant leak,1.13,1.02,TECH-007,Component wear,Operator retraining,coolant_system,hydraulic,hydraulic,coolant_pump_seal,69.02,2,0.11
F00076,CNC-A3,2024-11-05,Axis calibration error,1.57,0.97,TECH-001,Operator error,Vendor notified,servo_drive,software,automation,encoder_sensor,185.82,4,0.34
F00077,CNC-A3,2024-11-14,Coolant leak,1.33,0.91,TECH-007,Contamination,Recalibration,coolant_system,hydraulic,hydraulic,coolant_pump_seal,86.08,3,0.1
F00078,CNC-A3,2024-11-24,Coolant leak,0.88,1.35,TECH-007,Design limitation,Part replacement,coolant_system,hydraulic,hydraulic,coolant_pump_seal,79.53,1,0.16
F00079,CNC-A3,2024-12-04,Coolant leak,1.2,0.93,TECH-004,Operator error,Vendor notified,coolant_system,hydraulic,hydraulic,coolant_pump_seal,39.11,2,0.17
F00080,CNC-A3,2024-12-05,Tool breakage,1.42,1.03,TECH-003,Material defect,Recalibration,tool_changer,mechanical,mechanical,tool_insert_set,51.7,2,0.08
F00081,CNC-A3,2024-12-15,Axis calibration error,1.75,1.32,TECH-005,Contamination,Recalibration,servo_drive,software,automation,encoder_sensor,189.95,4,0.53
F00082,CNC-A3,2024-12-30,Spindle fault,1.67,0.93,TECH-005,Operator error,Design modification,spindle,mechanical,mechanical,spindle_bearing,157.41,8,0.14
F00083,CNC-A3,2024-12-31,Axis calibration error,1.03,1.28,TECH-007,Material defect,Part replacement,servo_drive,software,automation,encoder_sensor,116.0,4,0.56
F00084,CNC-A3,2025-01-14,Coolant leak,1.31,0.87,TECH-002,Lack of preventive maintenance,PM schedule updated,coolant_system,hydraulic,hydraulic,coolant_pump_seal,35.55,1,0.13
F00085,CNC-A3,2025-01-26,Coolant leak,1.14,0.94,TECH-001,Overloading,Operator retraining,coolant_system,hydraulic,hydraulic,coolant_pump_seal,71.04,3,0.11
F00086,CNC-A3,2025-01-27,Axis calibration error,1.61,0.93,TECH-003,Overloading,Recalibration,servo_drive,software,automation,encoder_sensor,193.56,5,0.41
F00087,CNC-A3,2025-02-18,Drive fault,1.43,0.97,TECH-008,Calibration drift,Operator retraining,servo_drive,electrical,electrical,servo_driver_board,1004.24,13,0.27
F00088,CNC-A3,2025-03-19,Spindle fault,0.98,0.9,TECH-002,Design limitation,Operator retraining,spindle,mechanical,mechanical,spindle_bearing,361.17,3,0.19
F00089,CNC-A3,2025-03-23,Axis calibration error,0.8,1.06,TECH-006,Lack of preventive maintenance,Operator retraining,servo_drive,software,automation,encoder_sensor,125.63,3,0.46
F00090,CNC-A3,2025-04-23,Coolant leak,1.29,1.13,TECH-006,Design limitation,Design modification,coolant_system,hydraulic,hydraulic,coolant_pump_seal,87.25,2,0.15
F00091,CNC-A4,2024-01-05,Tool breakage,2.7,1.44,TECH-004,Overloading,Operator retraining,tool_changer,mechanical,mechanical,tool_insert_set,113.61,2,0.15
F00092,CNC-A4,2024-01-16,Axis calibration error,1.71,1.72,TECH-008,Lack of preventive maintenance,Part replacement,servo_drive,software,automation,encoder_sensor,170.59,3,0.55
F00093,CNC-A4,2024-01-21,Drive fault,1.42,1.52,TECH-006,Calibration drift,Design modification,servo_drive,electrical,electrical,servo_driver_board,555.25,12,0.67
F00094,CNC-A4,2024-02-01,Coolant leak,1.06,1.61,TECH-006,Calibration drift,PM schedule updated,coolant_system,hydraulic,hydraulic,coolant_pump_seal,64.95,2,0.31
F00095,CNC-A4,2024-02-06,Coolant leak,1.76,1.84,TECH-002,Component wear,Recalibration,coolant_system,hydraulic,hydraulic,coolant_pump_seal,77.87,2,0.33
F00096,CNC-A4,2024-02-09,Drive fault,1.01,1.44,TECH-005,Operator error,Recalibration,servo_drive,electrical,electrical,servo_driver_board,463.38,9,0.39
F00097,CNC-A4,2024-02-14,Drive fault,1.45,1.58,TECH-003,Design limitation,Part replacement,servo_drive,electrical,electrical,servo_driver_board,1072.07,7,0.47
F00098,CNC-A4,2024-04-07,Spindle fault,1.07,1.26,TECH-008,Operator error,Part replacement,spindle,mechanical,mechanical,spindle_bearing,258.0,7,0.3
F00099,CNC-A4,2024-04-19,Spindle fault,1.24,1.46,TECH-001,Design limitation,Operator retraining,spindle,mechanical,mechanical,spindle_bearing,345.61,7,0.31
F00100,CNC-A4,2024-04-20,Drive fault,2.13,1.53,TECH-001,Component wear,Recalibration,servo_drive,electrical,electrical,servo_driver_board,730.64,11,0.51
F00101,CNC-A4,2024-05-14,Spindle fault,1.85,1.36,TECH-002,Overloading,Design modification,spindle,mechanical,mechanical,spindle_bearing,289.5,8,0.3
F00102,CNC-A4,2024-05-27,Axis calibration error,1.15,1.07,TECH-008,Calibration drift,PM schedule updated,servo_drive,software,automation,encoder_sensor,118.46,7,0.37
F00103,CNC-A4,2024-06-24,Drive fault,2.04,1.39,TECH-001,Operator error,Recalibration,servo_drive,electrical,electrical,servo_driver_board,1009.51,13,0.38
F00104,CNC-A4,2024-07-08,Spindle fault,1.66,1.51,TECH-003,Operator error,Recalibration,spindle,mechanical,mechanical,spindle_bearing,137.31,7,0.36
F00105,CNC-A4,2024-07-09,Coolant leak,1.14,1.52,TECH-001,Material defect,PM schedule updated,coolant_system,hydraulic,hydraulic,coolant_pump_seal,37.06,1,0.2
F00106,CNC-A4,2024-07-26,Spindle fault,1.55,1.11,TECH-005,Material defect,Operator retraining,spindle,mechanical,mechanical,spindle_bearing,157.41,7,0.32
F00107,CNC-A4,2024-07-27,Coolant leak,1.72,1.56,TECH-003,Operator error,Part replacement,coolant_system,hydraulic,hydraulic,coolant_pump_seal,38.26,1,0.18
F00108,CNC-A4,2024-07-29,Drive fault,1.43,1.84,TECH-005,Calibration drift,Part replacement,servo_drive,electrical,electrical,servo_driver_board,536.62,7,0.47
F00109,CNC-A4,2024-08-07,Coolant leak,1.54,1.67,TECH-008,Calibration drift,Part replacement,coolant_system,hydraulic,hydraulic,coolant_pump_seal,31.43,1,0.18
F00110,CNC-A4,2024-08-20,Drive fault,2.21,1.11,TECH-005,Lack of preventive maintenance,Part replacement,servo_drive,electrical,electrical,servo_driver_board,893.36,6,0.43
F00111,CNC-A4,2024-08-23,Drive fault,1.3,0.91,TECH-001,Design limitation,Design modification,servo_drive,electrical,electrical,servo_driver_board,745.22,13,0.32
F00112,CNC-A4,2024-08-24,Axis calibration error,1.7,1.08,TECH-005,Component wear,Design modification,servo_drive,software,automation,encoder_sensor,203.13,4,0.51
F00113,CNC-A4,2024-09-01,Axis calibration error,2.11,0.72,TECH-006,Overloading,PM schedule updated,servo_drive,software,automation,encoder_sensor,90.87,5,0.25
F00114,CNC-A4,2024-09-06,Axis calibration error,1.88,1.5,TECH-008,Design limitation,Vendor notified,servo_drive,software,automation,encoder_sensor,118.67,3,0.62
F00115,CNC-A4,2024-10-18,Axis calibration error,1.89,1.07,TECH-002,Contamination,PM schedule updated,servo_drive,software,automation,encoder_sensor,141.2,4,0.4
F00116,CNC-A4,2024-10-23,Drive fault,2.1,1.35,TECH-001,Calibration drift,Operator retraining,servo_drive,electrical,electrical,servo_driver_board,842.81,5,0.36
F00117,CNC-A4,2024-10-24,Axis calibration error,1.1,1.35,TECH-008,Lack of preventive maintenance,Recalibration,servo_drive,software,automation,encoder_sensor,197.52,3,0.65
F00118,CNC-A4,2024-10-28,Axis calibration error,1.92,1.57,TECH-002,Lack of preventive maintenance,Vendor notified,servo_drive,software,automation,encoder_sensor,98.38,3,0.74
F00119,CNC-A4,2024-11-10,Drive fault,1.7,1.56,TECH-001,Overloading,Part replacement,servo_drive,electrical,electrical,servo_driver_board,1126.99,7,0.64
F00120,CNC-A4,2024-11-13,Tool breakage,1.79,1.28,TECH-003,Calibration drift,Vendor notified,tool_changer,mechanical,mechanical,tool_insert_set,101.26,3,0.15
F00121,CNC-A4,2024-11-18,Axis calibration error,1.56,1.12,TECH-008,Material defect,Operator retraining,servo_drive,software,automation,encoder_sensor,190.16,6,0.46
F00122,CNC-A4,2024-11-29,Drive fault,0.97,1.82,TECH-003,Operator error,PM schedule updated,servo_drive,electrical,electrical,servo_driver_board,835.67,6,0.77
F00123,CNC-A4,2024-12-20,Drive fault,1.91,1.2,TECH-005,Lack of preventive maintenance,PM schedule updated,servo_drive,electrical,electrical,servo_driver_board,797.1,12,0.45
F00124,CNC-A4,2025-01-07,Axis calibration error,1.97,1.09,TECH-003,Calibration drift,Design modification,servo_drive,software,automation,encoder_sensor,120.97,4,0.36
F00125,CNC-A4,2025-01-16,Axis calibration error,1.33,1.81,TECH-008,Contamination,Recalibration,servo_drive,software,automation,encoder_sensor,149.51,3,0.63
F00126,CNC-A4,2025-03-14,Axis calibration error,1.71,1.67,TECH-001,Contamination,Vendor notified,servo_drive,software,automation,encoder_sensor,134.61,5,0.62
F00127,CNC-A4,2025-03-23,Spindle fault,2.03,1.26,TECH-008,Lack of preventive maintenance,Recalibration,spindle,mechanical,mechanical,spindle_bearing,205.15,5,0.32
F00128,CNC-A4,2025-04-02,Axis calibration error,0.96,1.1,TECH-002,Calibration drift,Part replacement,servo_drive,software,automation,encoder_sensor,125.08,4,0.54
F00129,CNC-A4,2025-04-20,Spindle fault,1.16,1.62,TECH-002,Calibration drift,PM schedule updated,spindle,mechanical,mechanical,spindle_bearing,358.25,8,0.32
F00130,CNC-A4,2025-04-26,Coolant leak,1.47,1.02,TECH-007,Contamination,Vendor notified,coolant_system,hydraulic,hydraulic,coolant_pump_seal,61.2,2,0.19
F00131,CNC-A5,2024-01-24,Tool breakage,1.38,1.06,TECH-004,Design limitation,Recalibration,tool_changer,mechanical,mechanical,tool_insert_set,90.47,1,0.11
F00132,CNC-A5,2024-02-15,Tool breakage,1.18,1.14,TECH-008,Component wear,Vendor notified,tool_changer,mechanical,mechanical,tool_insert_set,88.8,3,0.09
F00133,CNC-A5,2024-02-20,Tool breakage,1.61,1.14,TECH-005,Contamination,PM schedule updated,tool_changer,mechanical,mechanical,tool_insert_set,97.47,1,0.14
F00134,CNC-A5,2024-02-29,Spindle fault,1.33,1.33,TECH-003,Component wear,Part replacement,spindle,mechanical,mechanical,spindle_bearing,343.79,4,0.23
F00135,CNC-A5,2024-03-15,Axis calibration error,0.95,1.32,TECH-003,Material defect,Operator retraining,servo_drive,software,automation,encoder_sensor,167.94,6,0.59
F00136,CNC-A5,2024-03-31,Axis calibration error,0.85,1.18,TECH-005,Component wear,Part replacement,servo_drive,software,automation,encoder_sensor,96.41,3,0.57
F00137,CNC-A5,2024-04-09,Axis calibration error,1.07,1.34,TECH-005,Calibration drift,PM schedule updated,servo_drive,software,automation,encoder_sensor,103.55,7,0.62
F00138,CNC-A5,2024-04-12,Spindle fault,1.04,1.27,TECH-007,Contamination,Design modification,spindle,mechanical,mechanical,spindle_bearing,274.36,8,0.34
F00139,CNC-A5,2024-04-17,Axis calibration error,1.3,1.06,TECH-005,Lack of preventive maintenance,Design modification,servo_drive,software,automation,encoder_sensor,192.34,7,0.37
F00140,CNC-A5,2024-05-19,Drive fault,1.48,0.52,TECH-008,Design limitation,Recalibration,servo_drive,electrical,electrical,servo_driver_board,892.56,14,0.14
F00141,CNC-A5,2024-06-03,Drive fault,1.04,1.35,TECH-005,Component wear,Vendor notified,servo_drive,electrical,electrical,servo_driver_board,912.12,6,0.49
F00142,CNC-A5,2024-06-04,Axis calibration error,1.25,1.06,TECH-001,Contamination,Vendor notified,servo_drive,software,automation,encoder_sensor,162.28,3,0.42
F00143,CNC-A5,2024-06-06,Axis calibration error,1.57,0.99,TECH-003,Material defect,Recalibration,servo_drive,software,automation,encoder_sensor,155.56,6,0.46
F00144,CNC-A5,2024-07-01,Drive fault,1.54,0.95,TECH-005,Component wear,PM schedule updated,servo_drive,electrical,electrical,servo_driver_board,819.11,12,0.35
F00145,CNC-A5,2024-08-09,Coolant leak,2.13,0.9,TECH-006,Operator error,Operator retraining,coolant_system,hydraulic,hydraulic,coolant_pump_seal,85.74,3,0.1
F00146,CNC-A5,2024-10-01,Axis calibration error,1.87,1.54,TECH-006,Operator error,Operator retraining,servo_drive,software,automation,encoder_sensor,96.84,3,0.66
F00147,CNC-A5,2024-10-02,Coolant leak,0.97,1.04,TECH-007,Contamination,Part replacement,coolant_system,hydraulic,hydraulic,coolant_pump_seal,53.95,3,0.17
F00148,CNC-A5,2024-10-20,Drive fault,0.87,1.15,TECH-006,Material defect,Vendor notified,servo_drive,electrical,electrical,servo_driver_board,700.23,12,0.49
F00149,CNC-A5,2024-10-21,Coolant leak,1.64,0.67,TECH-007,Operator error,Recalibration,coolant_system,hydraulic,hydraulic,coolant_pump_seal,75.28,2,0.09
F00150,CNC-A5,2024-10-22,Tool breakage,2.39,1.27,TECH-002,Material defect,Design modification,tool_changer,mechanical,mechanical,tool_insert_set,61.73,1,0.08
F00151,CNC-A5,2024-10-24,Drive fault,0.85,1.19,TECH-007,Component wear,Operator retraining,servo_drive,electrical,electrical,servo_driver_board,560.84,5,0.4
F00152,CNC-A5,2024-11-10,Coolant leak,1.55,0.84,TECH-001,Contamination,Recalibration,coolant_system,hydraulic,hydraulic,coolant_pump_seal,51.77,3,0.15
F00153,CNC-A5,2024-11-19,Tool breakage,1.94,0.97,TECH-006,Contamination,Part replacement,tool_changer,mechanical,mechanical,tool_insert_set,82.0,3,0.12
F00154,CNC-A5,2024-11-27,Axis calibration error,1.38,1.2,TECH-002,Material defect,Vendor notified,servo_drive,software,automation,encoder_sensor,149.71,7,0.45
F00155,CNC-A5,2024-12-13,Coolant leak,1.42,1.09,TECH-004,Component wear,Design modification,coolant_system,hydraulic,hydraulic,coolant_pump_seal,89.17,1,0.21
F00156,CNC-A5,2024-12-16,Drive fault,1.52,0.85,TECH-004,Material defect,PM schedule updated,servo_drive,electrical,electrical,servo_driver_board,538.86,12,0.36
F00157,CNC-A5,2025-01-09,Coolant leak,1.43,0.81,TECH-003,Component wear,Design modification,coolant_system,hydraulic,hydraulic,coolant_pump_seal,67.5,1,0.13
F00158,CNC-A5,2025-01-13,Tool breakage,1.54,1.39,TECH-003,Lack of preventive maintenance,PM schedule updated,tool_changer,mechanical,mechanical,tool_insert_set,93.32,1,0.07
F00159,CNC-A5,2025-02-07,Spindle fault,1.34,1.29,TECH-005,Lack of preventive maintenance,Recalibration,spindle,mechanical,mechanical,spindle_bearing,238.12,7,0.25
F00160,CNC-A5,2025-02-28,Axis calibration error,0.78,1.04,TECH-008,Contamination,Design modification,servo_drive,software,automation,encoder_sensor,146.9,7,0.4
F00161,CNC-A5,2025-03-14,Drive fault,1.1,1.15,TECH-001,Design limitation,Operator retraining,servo_drive,electrical,electrical,servo_driver_board,676.45,10,0.47
F00162,CNC-A5,2025-03-30,Axis calibration error,2.49,1.25,TECH-007,Operator error,Operator retraining,servo_drive,software,automation,encoder_sensor,99.93,7,0.62
F00163,CNC-A5,2025-04-19,Coolant leak,0.66,1.26,TECH-003,Operator error,Recalibration,coolant_system,hydraulic,hydraulic,coolant_pump_seal,82.51,3,0.23
