year_month,machine_id,vsm,area,machine_type,failures_count,downtime_hrs,mtbf_hrs,mttr_hrs,availability_pct,downtime_cost_per_hr,monthly_downtime_cost,health_score,health_status
2024-05,PB-A2,Alpha,Painting,Paint Booth,5,10.55,146.7,1.86,98.58,180.0,1899.0,54.9,Monitor
2024-06,PB-A2,Alpha,Painting,Paint Booth,2,4.31,357.8,2.1,99.4,180.0,775.8,72.0,Healthy
2024-07,PB-A2,Alpha,Painting,Paint Booth,2,2.59,370.7,1.88,99.65,180.0,466.2,73.0,Healthy
2024-08,PB-A2,Alpha,Painting,Paint Booth,3,3.81,246.7,1.94,99.49,180.0,685.8,63.7,Monitor
2024-09,PB-A2,Alpha,Painting,Paint Booth,0,0.0,720.0,0.0,100.0,180.0,0.0,98.4,Healthy
2024-10,PB-A2,Alpha,Painting,Paint Booth,4,7.36,184.2,1.83,99.01,180.0,1324.8,58.4,Monitor
2024-11,PB-A2,Alpha,Painting,Paint Booth,5,11.1,141.8,1.59,98.46,180.0,1998.0,54.5,Monitor
2024-12,PB-A2,Alpha,Painting,Paint Booth,0,0.0,744.0,0.0,100.0,180.0,0.0,100.0,Healthy
2025-01,PB-A2,Alpha,Painting,Paint Booth,2,2.91,370.5,1.77,99.61,180.0,523.8,73.0,Healthy
2025-02,PB-A2,Alpha,Painting,Paint Booth,1,2.03,670.0,1.4,99.7,180.0,365.4,94.0,Healthy
2025-03,PB-A2,Alpha,Painting,Paint Booth,1,1.79,742.2,1.49,99.76,180.0,322.2,98.9,Healthy
2025-04,PB-A2,Alpha,Painting,Paint Booth,5,11.45,141.7,1.86,98.41,180.0,2061.0,54.5,Monitor
2024-01,CF-A1,Alpha,Painting,Curing Furnace,3,10.14,244.6,3.58,98.64,250.0,2535.0,63.3,Monitor
2024-02,CF-A1,Alpha,Painting,Curing Furnace,3,13.84,227.4,3.4,98.01,250.0,3460.0,62.0,Monitor
2024-03,CF-A1,Alpha,Painting,Curing Furnace,7,32.91,101.6,3.43,95.58,250.0,8227.5,49.1,Monitor
2024-04,CF-A1,Alpha,Painting,Curing Furnace,1,3.21,716.8,2.98,99.55,250.0,802.5,97.1,Healthy
2024-05,CF-A1,Alpha,Painting,Curing Furnace,1,4.14,739.9,2.91,99.44,250.0,1035.0,98.6,Healthy
2024-06,CF-A1,Alpha,Painting,Curing Furnace,2,9.14,355.4,3.76,98.73,250.0,2285.0,71.7,Healthy
2024-07,CF-A1,Alpha,Painting,Curing Furnace,4,15.91,182.0,3.52,97.86,250.0,3977.5,58.0,Monitor
2024-08,CF-A1,Alpha,Painting,Curing Furnace,3,10.91,244.4,4.41,98.53,250.0,2727.5,63.3,Monitor
2024-09,CF-A1,Alpha,Painting,Curing Furnace,4,12.09,177.0,3.64,98.32,250.0,3022.5,57.8,Monitor
2024-10,CF-A1,Alpha,Painting,Curing Furnace,3,13.75,243.4,3.16,98.15,250.0,3437.5,63.1,Monitor
2024-11,CF-A1,Alpha,Painting,Curing Furnace,1,5.26,714.7,4.9,99.27,250.0,1315.0,96.9,Healthy
2024-12,CF-A1,Alpha,Painting,Curing Furnace,3,16.31,242.6,3.36,97.81,250.0,4077.5,62.9,Monitor
2025-01,CF-A1,Alpha,Painting,Curing Furnace,2,10.08,367.0,3.33,98.65,250.0,2520.0,72.4,Healthy
2025-02,CF-A1,Alpha,Painting,Curing Furnace,1,5.23,666.8,3.53,99.22,250.0,1307.5,93.7,Healthy
2025-03,CF-A1,Alpha,Painting,Curing Furnace,4,17.32,181.7,3.55,97.67,250.0,4330.0,57.9,Monitor
2025-04,CF-A1,Alpha,Painting,Curing Furnace,4,17.55,175.6,3.75,97.56,250.0,4387.5,57.4,Monitor
2024-01,AS-A1,Alpha,Assembly,Assembly Station,1,0.9,743.1,0.78,99.88,90.0,81.0,99.0,Healthy
2024-02,AS-A1,Alpha,Assembly,Assembly Station,1,0.77,695.2,0.82,99.89,90.0,69.3,95.8,Healthy
2024-03,AS-A1,Alpha,Assembly,Assembly Station,0,0.0,744.0,0.0,100.0,90.0,0.0,100.0,Healthy
2024-04,AS-A1,Alpha,Assembly,Assembly Station,1,0.6,719.4,1.02,99.92,90.0,54.0,97.4,Healthy
2024-05,AS-A1,Alpha,Assembly,Assembly Station,4,4.29,184.9,0.93,99.42,90.0,386.1,58.6,Monitor
2024-06,AS-A1,Alpha,Assembly,Assembly Station,4,3.15,179.2,0.71,99.56,90.0,283.5,58.3,Monitor
2024-07,AS-A1,Alpha,Assembly,Assembly Station,2,1.88,371.1,0.72,99.75,90.0,169.2,73.0,Healthy
2024-08,AS-A1,Alpha,Assembly,Assembly Station,2,1.96,371.0,0.85,99.74,90.0,176.4,73.0,Healthy
2024-09,AS-A1,Alpha,Assembly,Assembly Station,4,3.87,179.0,0.76,99.46,90.0,348.3,58.2,Monitor
2024-10,AS-A1,Alpha,Assembly,Assembly Station,5,5.47,147.7,0.83,99.26,90.0,492.3,55.2,Monitor
2024-11,AS-A1,Alpha,Assembly,Assembly Station,3,2.65,239.1,0.72,99.63,90.0,238.5,63.2,Monitor
2024-12,AS-A1,Alpha,Assembly,Assembly Station,7,6.69,105.3,0.86,99.1,90.0,602.1,50.4,Monitor
2025-01,AS-A1,Alpha,Assembly,Assembly Station,1,0.92,743.1,0.77,99.88,90.0,82.8,99.0,Healthy
2025-02,AS-A1,Alpha,Assembly,Assembly Station,2,1.25,335.4,0.64,99.81,90.0,112.5,70.7,Healthy
2025-03,AS-A1,Alpha,Assembly,Assembly Station,1,0.85,743.1,0.61,99.89,90.0,76.5,99.0,Healthy
2025-04,AS-A1,Alpha,Assembly,Assembly Station,1,1.21,718.8,0.68,99.83,90.0,108.9,97.3,Healthy
2024-01,AS-A2,Alpha,Assembly,Assembly Station,5,4.35,147.9,0.58,99.42,90.0,391.5,55.2,Monitor
2024-02,AS-A2,Alpha,Assembly,Assembly Station,8,6.15,86.2,0.71,99.12,90.0,553.5,48.3,Monitor
2024-03,AS-A2,Alpha,Assembly,Assembly Station,5,3.31,148.1,0.61,99.56,90.0,297.9,55.3,Monitor
2024-04,AS-A2,Alpha,Assembly,Assembly Station,4,3.95,179.0,0.7,99.45,90.0,355.5,58.2,Monitor
2024-05,AS-A2,Alpha,Assembly,Assembly Station,2,1.19,371.4,0.73,99.84,90.0,107.1,73.1,Healthy
2024-06,AS-A2,Alpha,Assembly,Assembly Station,6,5.02,119.2,0.74,99.3,90.0,451.8,52.3,Monitor
2024-07,AS-A2,Alpha,Assembly,Assembly Station,5,3.66,148.1,0.67,99.51,90.0,329.4,55.3,Monitor
2024-08,AS-A2,Alpha,Assembly,Assembly Station,7,5.93,105.4,0.79,99.2,90.0,533.7,50.5,Monitor
2024-09,AS-A2,Alpha,Assembly,Assembly Station,5,3.91,143.2,0.78,99.46,90.0,351.9,54.9,Monitor
2024-10,AS-A2,Alpha,Assembly,Assembly Station,1,0.93,743.1,0.53,99.88,90.0,83.7,99.0,Healthy
2024-11,AS-A2,Alpha,Assembly,Assembly Station,1,0.77,719.2,0.88,99.89,90.0,69.3,97.4,Healthy
2024-12,AS-A2,Alpha,Assembly,Assembly Station,3,2.97,247.0,0.59,99.6,90.0,267.3,63.8,Monitor
2025-01,AS-A2,Alpha,Assembly,Assembly Station,9,7.78,81.8,0.61,98.95,90.0,700.2,47.0,Monitor
2025-02,AS-A2,Alpha,Assembly,Assembly Station,7,6.67,95.0,0.69,99.01,90.0,600.3,49.7,Monitor
2025-03,AS-A2,Alpha,Assembly,Assembly Station,6,5.13,123.1,0.59,99.31,90.0,461.7,52.6,Monitor
2025-04,AS-A2,Alpha,Assembly,Assembly Station,1,0.61,719.4,0.83,99.92,90.0,54.9,97.4,Healthy
2024-01,AS-A3,Alpha,Assembly,Assembly Station,3,2.98,247.0,1.07,99.6,90.0,268.2,63.8,Monitor
2024-02,AS-A3,Alpha,Assembly,Assembly Station,4,5.84,172.5,0.86,99.16,90.0,525.6,57.7,Monitor
2024-03,AS-A3,Alpha,Assembly,Assembly Station,1,1.16,742.8,0.9,99.84,90.0,104.4,99.0,Healthy
2024-04,AS-A3,Alpha,Assembly,Assembly Station,3,3.59,238.8,0.81,99.5,90.0,323.1,63.2,Monitor
2024-05,AS-A3,Alpha,Assembly,Assembly Station,3,2.94,247.0,0.86,99.6,90.0,264.6,63.8,Monitor
2024-06,AS-A3,Alpha,Assembly,Assembly Station,2,2.47,358.8,0.84,99.66,90.0,222.3,72.2,Healthy
2024-07,AS-A3,Alpha,Assembly,Assembly Station,1,1.23,742.8,0.88,99.83,90.0,110.7,99.0,Healthy
2024-08,AS-A3,Alpha,Assembly,Assembly Station,2,2.07,371.0,1.01,99.72,90.0,186.3,73.0,Healthy
2024-09,AS-A3,Alpha,Assembly,Assembly Station,1,1.1,718.9,1.04,99.85,90.0,99.0,97.4,Healthy
2024-10,AS-A3,Alpha,Assembly,Assembly Station,5,4.98,147.8,1.09,99.33,90.0,448.2,55.2,Monitor
2024-11,AS-A3,Alpha,Assembly,Assembly Station,4,3.73,179.1,0.75,99.48,90.0,335.7,58.2,Monitor
2024-12,AS-A3,Alpha,Assembly,Assembly Station,2,2.51,370.7,1.0,99.66,90.0,225.9,73.0,Healthy
2025-01,AS-A3,Alpha,Assembly,Assembly Station,2,2.42,370.8,0.93,99.67,90.0,217.8,73.0,Healthy
2025-02,AS-A3,Alpha,Assembly,Assembly Station,5,4.44,133.5,0.86,99.34,90.0,399.6,54.2,Monitor
2025-03,AS-A3,Alpha,Assembly,Assembly Station,5,6.18,147.6,0.75,99.17,90.0,556.2,55.1,Monitor
2025-04,AS-A3,Alpha,Assembly,Assembly Station,2,2.05,359.0,0.83,99.72,90.0,184.5,72.2,Healthy
2024-01,AS-A4,Alpha,Assembly,Assembly Station,1,0.64,743.4,0.89,99.91,90.0,57.6,99.0,Healthy
2024-02,AS-A4,Alpha,Assembly,Assembly Station,2,1.68,347.2,0.59,99.76,90.0,151.2,71.4,Healthy
2024-03,AS-A4,Alpha,Assembly,Assembly Station,4,4.31,184.9,0.79,99.42,90.0,387.9,58.6,Monitor
2024-04,AS-A4,Alpha,Assembly,Assembly Station,4,4.75,178.8,0.68,99.34,90.0,427.5,58.2,Monitor
2024-05,AS-A4,Alpha,Assembly,Assembly Station,0,0.0,744.0,0.0,100.0,90.0,0.0,100.0,Healthy
2024-06,AS-A4,Alpha,Assembly,Assembly Station,8,8.02,89.0,0.86,98.89,90.0,721.8,48.4,Monitor
2024-07,AS-A4,Alpha,Assembly,Assembly Station,5,4.96,147.8,0.74,99.33,90.0,446.4,55.2,Monitor
2024-08,AS-A4,Alpha,Assembly,Assembly Station,3,3.11,247.0,0.72,99.58,90.0,279.9,63.7,Monitor
2024-09,AS-A4,Alpha,Assembly,Assembly Station,2,2.47,358.8,0.7,99.66,90.0,222.3,72.2,Healthy
2024-10,AS-A4,Alpha,Assembly,Assembly Station,3,2.83,247.1,0.7,99.62,90.0,254.7,63.8,Monitor
2024-11,AS-A4,Alpha,Assembly,Assembly Station,2,2.09,359.0,0.91,99.71,90.0,188.1,72.2,Healthy
2024-12,AS-A4,Alpha,Assembly,Assembly Station,4,4.9,184.8,0.74,99.34,90.0,441.0,58.6,Monitor
2025-01,AS-A4,Alpha,Assembly,Assembly Station,4,3.95,185.0,0.75,99.47,90.0,355.5,58.6,Monitor
2025-02,AS-A4,Alpha,Assembly,Assembly Station,3,2.59,223.1,0.71,99.61,90.0,233.1,62.1,Monitor
2025-03,AS-A4,Alpha,Assembly,Assembly Station,3,3.16,246.9,0.82,99.58,90.0,284.4,63.7,Monitor
2025-04,AS-A4,Alpha,Assembly,Assembly Station,5,4.44,143.1,0.88,99.38,90.0,399.6,54.9,Monitor
2024-01,AS-A5,Alpha,Assembly,Assembly Station,6,7.14,122.8,1.07,99.04,90.0,642.6,52.5,Monitor
2024-02,AS-A5,Alpha,Assembly,Assembly Station,3,3.07,231.0,0.91,99.56,90.0,276.3,62.7,Monitor
2024-03,AS-A5,Alpha,Assembly,Assembly Station,5,6.78,147.4,1.14,99.09,90.0,610.2,55.1,Monitor
2024-04,AS-A5,Alpha,Assembly,Assembly Station,7,8.51,101.6,1.02,98.82,90.0,765.9,50.1,Monitor
2024-05,AS-A5,Alpha,Assembly,Assembly Station,3,3.41,246.9,1.15,99.54,90.0,306.9,63.7,Monitor
2024-06,AS-A5,Alpha,Assembly,Assembly Station,3,4.42,238.5,0.95,99.39,90.0,397.8,63.1,Monitor
2024-07,AS-A5,Alpha,Assembly,Assembly Station,3,3.66,246.8,0.92,99.51,90.0,329.4,63.7,Monitor
2024-08,AS-A5,Alpha,Assembly,Assembly Station,1,0.77,743.2,1.25,99.9,90.0,69.3,99.0,Healthy
2024-09,AS-A5,Alpha,Assembly,Assembly Station,5,5.56,142.9,1.06,99.23,90.0,500.4,54.8,Monitor
2024-10,AS-A5,Alpha,Assembly,Assembly Station,3,3.67,246.8,0.99,99.51,90.0,330.3,63.7,Monitor
2024-11,AS-A5,Alpha,Assembly,Assembly Station,4,4.83,178.8,1.05,99.33,90.0,434.7,58.2,Monitor
2024-12,AS-A5,Alpha,Assembly,Assembly Station,2,2.93,370.5,0.99,99.61,90.0,263.7,73.0,Healthy
2025-01,AS-A5,Alpha,Assembly,Assembly Station,0,0.0,744.0,0.0,100.0,90.0,0.0,100.0,Healthy
2025-02,AS-A5,Alpha,Assembly,Assembly Station,5,5.63,133.3,0.83,99.16,90.0,506.7,54.2,Monitor
2025-03,AS-A5,Alpha,Assembly,Assembly Station,1,1.37,742.6,1.02,99.82,90.0,123.3,98.9,Healthy
2025-04,AS-A5,Alpha,Assembly,Assembly Station,3,3.71,238.8,0.84,99.48,90.0,333.9,63.2,Monitor
2024-01,AS-A6,Alpha,Assembly,Assembly Station,0,0.0,744.0,0.0,100.0,90.0,0.0,100.0,Healthy
2024-02,AS-A6,Alpha,Assembly,Assembly Station,1,0.74,695.3,0.86,99.89,90.0,66.6,95.8,Healthy
2024-03,AS-A6,Alpha,Assembly,Assembly Station,1,0.99,743.0,0.58,99.87,90.0,89.1,99.0,Healthy
2024-04,AS-A6,Alpha,Assembly,Assembly Station,3,2.31,239.2,0.8,99.68,90.0,207.9,63.3,Monitor
2024-05,AS-A6,Alpha,Assembly,Assembly Station,4,3.46,185.1,0.68,99.53,90.0,311.4,58.7,Monitor
2024-06,AS-A6,Alpha,Assembly,Assembly Station,2,1.42,359.3,0.89,99.8,90.0,127.8,72.3,Healthy
2024-07,AS-A6,Alpha,Assembly,Assembly Station,4,3.23,185.2,0.57,99.57,90.0,290.7,58.7,Monitor
2024-08,AS-A6,Alpha,Assembly,Assembly Station,6,5.49,123.1,0.71,99.26,90.0,494.1,52.6,Monitor
2024-09,AS-A6,Alpha,Assembly,Assembly Station,5,4.54,143.1,0.64,99.37,90.0,408.6,54.9,Monitor
2024-10,AS-A6,Alpha,Assembly,Assembly Station,2,1.46,371.3,0.74,99.8,90.0,131.4,73.1,Healthy
2024-11,AS-A6,Alpha,Assembly,Assembly Station,4,3.6,179.1,0.64,99.5,90.0,324.0,58.2,Monitor
2024-12,AS-A6,Alpha,Assembly,Assembly Station,5,4.45,147.9,0.72,99.4,90.0,400.5,55.2,Monitor
2025-01,AS-A6,Alpha,Assembly,Assembly Station,3,2.26,247.2,0.73,99.7,90.0,203.4,63.8,Monitor
2025-02,AS-A6,Alpha,Assembly,Assembly Station,3,2.89,223.0,0.77,99.57,90.0,260.1,62.1,Monitor
2025-03,AS-A6,Alpha,Assembly,Assembly Station,5,4.3,147.9,0.65,99.42,90.0,387.0,55.2,Monitor
