year_month,machine_id,vsm,area,machine_type,component,failure_type,technician_type,part_replaced,failure_count,total_downtime_hrs,total_repair_hrs,mttr_component_hrs,avg_diagnose_hrs,avg_part_cost_usd,part_lead_time_days,total_downtime_cost,downtime_cost_per_hr,repeat_failure_90d,pct_of_total_cost,cumulative_pct
2024-01,AS-A1,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.9,0.78,0.78,0.24,79.77,2,81.0,90.0,True,0.0,0.0
2024-05,AS-A1,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,1.05,0.74,0.74,0.19,99.95,3,94.5,90.0,True,0.0,0.0
2024-09,AS-A1,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,2,1.76,1.58,0.79,0.26,56.62,2,158.4,90.0,True,0.0,0.0
2024-11,AS-A1,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,2,1.91,1.45,0.73,0.17,54.22,3,171.9,90.0,True,0.0,0.0
2024-12,AS-A1,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,1.06,0.98,0.98,0.39,84.11,4,95.4,90.0,True,0.0,0.0
2025-03,AS-A1,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.85,0.61,0.61,0.16,46.19,3,76.5,90.0,True,0.0,0.0
2024-04,AS-A1,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,0.6,1.02,1.02,0.32,263.05,3,54.0,90.0,False,0.0,0.0
2024-07,AS-A1,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,1.25,0.78,0.78,0.38,223.2,6,112.5,90.0,False,0.0,0.0
2024-08,AS-A1,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,0.67,0.99,0.99,0.48,200.24,3,60.3,90.0,False,0.0,0.0
2024-10,AS-A1,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,1.16,0.68,0.68,0.34,318.87,7,104.4,90.0,False,0.0,0.0
2025-01,AS-A1,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,0.92,0.77,0.77,0.25,314.08,3,82.8,90.0,False,0.0,0.0
2024-01,AS-A2,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,3,2.62,1.86,0.62,0.18,72.69,2,235.8,90.0,True,0.0,0.0
2024-02,AS-A2,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,3,2.16,1.89,0.63,0.21,58.74,3,194.4,90.0,True,0.0,0.0
2024-03,AS-A2,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,0.98,0.52,0.52,0.11,63.34,3,88.2,90.0,True,0.0,0.0
2024-04,AS-A2,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,0.76,0.74,0.74,0.29,74.1,2,68.4,90.0,True,0.0,0.0
2024-06,AS-A2,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,3,2.83,2.15,0.72,0.2,46.18,2,254.7,90.0,True,0.0,0.0
2024-07,AS-A2,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,0.79,0.71,0.71,0.16,68.46,3,71.1,90.0,True,0.0,0.0
2024-08,AS-A2,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,3,2.65,2.54,0.85,0.26,46.45,3,238.5,90.0,True,0.0,0.0
2024-09,AS-A2,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,0.69,0.65,0.65,0.23,75.12,2,62.1,90.0,True,0.0,0.0
2024-10,AS-A2,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,0.93,0.53,0.53,0.15,53.64,3,83.7,90.0,True,0.0,0.0
2024-11,AS-A2,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,0.77,0.88,0.88,0.33,43.21,3,69.3,90.0,True,0.0,0.0
2025-02,AS-A2,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,1.12,0.84,0.84,0.3,49.23,2,100.8,90.0,True,0.0,0.0
2025-03,AS-A2,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,0.96,0.58,0.58,0.13,31.85,2,86.4,90.0,True,0.0,0.0
2024-01,AS-A2,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,0.89,0.55,0.55,0.16,107.32,2,80.1,90.0,True,0.0,0.0
2024-02,AS-A2,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,0.82,0.84,0.84,0.19,59.08,2,73.8,90.0,True,0.0,0.0
2024-03,AS-A2,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,2,1.26,0.98,0.49,0.11,101.67,4,113.4,90.0,True,0.0,0.0
2024-04,AS-A2,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,1.17,0.74,0.74,0.19,90.81,2,105.3,90.0,True,0.0,0.0
2024-07,AS-A2,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,2,1.15,1.1,0.55,0.12,99.32,2,103.5,90.0,True,0.0,0.0
2024-08,AS-A2,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,2,1.77,1.34,0.67,0.16,96.66,2,159.3,90.0,True,0.0,0.0
2024-09,AS-A2,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,2,1.68,1.71,0.85,0.16,79.87,3,151.2,90.0,True,0.0,0.0
2024-12,AS-A2,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,1.26,0.69,0.69,0.14,134.09,4,113.4,90.0,True,0.0,0.0
2025-01,AS-A2,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,2,1.76,1.42,0.71,0.12,93.13,4,158.4,90.0,True,0.0,0.0
2025-02,AS-A2,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,4,3.77,2.58,0.65,0.12,104.4,4,339.3,90.0,True,0.0,0.0
2025-03,AS-A2,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,0.92,0.46,0.46,0.07,96.11,2,82.8,90.0,True,0.0,0.0
2024-02,AS-A2,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.63,0.78,0.78,0.11,26.09,2,56.7,90.0,True,0.0,0.0
2024-05,AS-A2,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.55,0.65,0.65,0.05,26.03,2,49.5,90.0,True,0.0,0.0
2024-06,AS-A2,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.71,1.0,1.0,0.13,14.97,2,63.9,90.0,True,0.0,0.0
2024-08,AS-A2,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.75,0.88,0.88,0.06,40.59,2,67.5,90.0,True,0.0,0.0
2024-09,AS-A2,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.9,0.65,0.65,0.04,38.88,2,81.0,90.0,True,0.0,0.0
2024-12,AS-A2,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.7,0.6,0.6,0.09,16.84,1,63.0,90.0,True,0.0,0.0
2025-01,AS-A2,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,2,1.68,1.15,0.57,0.04,32.98,1,151.2,90.0,True,0.0,0.0
2025-02,AS-A2,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.95,0.79,0.79,0.1,30.68,1,85.5,90.0,True,0.0,0.0
2025-03,AS-A2,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,2,1.78,1.4,0.7,0.07,29.18,1,160.2,90.0,True,0.0,0.0
2025-04,AS-A2,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.61,0.83,0.83,0.08,31.8,2,54.9,90.0,True,0.0,0.0
2024-02,AS-A2,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,2,1.59,1.34,0.67,0.2,65.13,4,143.1,90.0,True,0.0,0.0
2024-06,AS-A2,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.78,0.58,0.58,0.18,57.42,3,70.2,90.0,True,0.0,0.0
2024-07,AS-A2,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,2,1.72,1.54,0.77,0.25,84.22,3,154.8,90.0,True,0.0,0.0
2024-08,AS-A2,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.76,0.74,0.74,0.29,123.72,5,68.4,90.0,True,0.0,0.0
2025-02,AS-A2,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.83,0.64,0.64,0.22,124.05,2,74.7,90.0,True,0.0,0.0
2025-03,AS-A2,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.71,0.62,0.62,0.18,102.27,5,63.9,90.0,True,0.0,0.0
2024-01,AS-A2,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,0.84,0.48,0.48,0.17,169.63,3,75.6,90.0,True,0.0,0.0
2024-02,AS-A2,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,0.95,0.79,0.79,0.27,397.71,3,85.5,90.0,True,0.0,0.0
2024-03,AS-A2,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,2,1.07,1.57,0.78,0.34,307.9,6,96.3,90.0,True,0.0,0.0
2024-04,AS-A2,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,2,2.02,1.32,0.66,0.26,355.78,5,181.8,90.0,True,0.0,0.0
2024-05,AS-A2,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,0.64,0.8,0.8,0.39,269.33,3,57.6,90.0,True,0.0,0.0
2024-06,AS-A2,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,0.7,0.73,0.73,0.25,389.66,4,63.0,90.0,True,0.0,0.0
2024-09,AS-A2,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,0.64,0.88,0.88,0.3,232.46,3,57.6,90.0,True,0.0,0.0
2024-12,AS-A2,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,1.01,0.49,0.49,0.17,300.37,6,90.9,90.0,True,0.0,0.0
2025-01,AS-A2,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,5,4.34,2.94,0.59,0.23,300.1,5,390.6,90.0,True,0.0,0.0
2025-03,AS-A2,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,0.76,0.47,0.47,0.17,265.2,3,68.4,90.0,True,0.0,0.0
2024-02,AS-A3,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,1.47,1.01,1.01,0.34,60.95,3,132.3,90.0,True,0.0,0.0
2024-04,AS-A3,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,1.26,0.94,0.94,0.21,55.28,2,113.4,90.0,True,0.0,0.0
2024-10,AS-A3,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,0.81,0.94,0.94,0.32,88.52,2,72.9,90.0,True,0.0,0.0
2025-02,AS-A3,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,2,1.92,1.61,0.8,0.24,67.39,1,172.8,90.0,True,0.0,0.0
2025-03,AS-A3,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,0.88,0.48,0.48,0.16,37.55,1,79.2,90.0,True,0.0,0.0
2025-04,AS-A3,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,1.16,0.97,0.97,0.36,69.13,2,104.4,90.0,True,0.0,0.0
2024-02,AS-A3,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,1.58,1.02,1.02,0.21,84.32,3,142.2,90.0,True,0.0,0.0
2024-05,AS-A3,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,0.62,0.91,0.91,0.24,86.41,4,55.8,90.0,True,0.0,0.0
2024-06,AS-A3,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,1.06,0.75,0.75,0.14,116.1,2,95.4,90.0,True,0.0,0.0
2024-10,AS-A3,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,4,4.17,4.51,1.13,0.26,111.5,3,375.3,90.0,True,0.0,0.0
2024-11,AS-A3,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,1.12,0.77,0.77,0.15,113.0,3,100.8,90.0,True,0.0,0.0
2024-12,AS-A3,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,0.85,0.97,0.97,0.21,99.81,4,76.5,90.0,True,0.0,0.0
2025-01,AS-A3,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,1.45,0.95,0.95,0.18,78.9,3,130.5,90.0,True,0.0,0.0
2025-02,AS-A3,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,0.91,0.83,0.83,0.14,131.01,3,81.9,90.0,True,0.0,0.0
2025-03,AS-A3,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,2,2.93,1.79,0.9,0.2,104.47,3,263.7,90.0,True,0.0,0.0
2024-01,AS-A3,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,2,2.09,2.12,1.06,0.11,28.91,1,188.1,90.0,True,0.0,0.0
2024-02,AS-A3,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,2,2.79,1.42,0.71,0.09,36.47,2,251.1,90.0,True,0.0,0.0
2024-04,AS-A3,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,1.04,0.76,0.76,0.07,31.41,1,93.6,90.0,True,0.0,0.0
2024-06,AS-A3,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,1.41,0.93,0.93,0.07,37.82,1,126.9,90.0,True,0.0,0.0
2024-08,AS-A3,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,1.41,1.15,1.15,0.14,28.26,2,126.9,90.0,True,0.0,0.0
2024-11,AS-A3,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,2,1.75,1.52,0.76,0.09,29.48,2,157.5,90.0,True,0.0,0.0
2025-02,AS-A3,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.61,0.83,0.83,0.07,35.23,2,54.9,90.0,True,0.0,0.0
2025-03,AS-A3,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,2,2.37,1.5,0.75,0.11,30.05,1,213.3,90.0,True,0.0,0.0
2024-01,AS-A3,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.89,1.08,1.08,0.31,45.34,4,80.1,90.0,True,0.0,0.0
2024-03,AS-A3,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,1.16,0.9,0.9,0.27,88.63,2,104.4,90.0,True,0.0,0.0
2024-05,AS-A3,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,2,2.32,1.68,0.84,0.21,73.31,3,208.8,90.0,True,0.0,0.0
2024-07,AS-A3,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,1.23,0.88,0.88,0.23,53.51,2,110.7,90.0,True,0.0,0.0
2024-08,AS-A3,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.66,0.87,0.87,0.21,98.0,5,59.4,90.0,True,0.0,0.0
2024-09,AS-A3,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,1.1,1.04,1.04,0.26,121.09,4,99.0,90.0,True,0.0,0.0
2024-11,AS-A3,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.86,0.71,0.71,0.27,62.27,3,77.4,90.0,True,0.0,0.0
2025-02,AS-A3,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,1.0,1.01,1.01,0.36,42.62,2,90.0,90.0,True,0.0,0.0
2025-04,AS-A3,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.89,0.7,0.7,0.2,56.64,2,80.1,90.0,True,0.0,0.0
2024-04,AS-A3,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,1.29,0.72,0.72,0.28,396.31,6,116.1,90.0,False,0.0,0.0
2024-12,AS-A3,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,1.66,1.03,1.03,0.47,354.97,7,149.4,90.0,False,0.0,0.0
2025-01,AS-A3,Alpha,Assembly,Assembly Station,torque_system,software,automation,torque_transducer,1,0.97,0.91,0.91,0.38,230.74,6,87.3,90.0,False,0.0,0.0
2024-04,AS-A4,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,1.16,0.55,0.55,0.2,47.94,1,104.4,90.0,True,0.0,0.0
2024-06,AS-A4,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,1.34,0.96,0.96,0.35,30.16,2,120.6,90.0,True,0.0,0.0
2024-07,AS-A4,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,2,1.77,1.34,0.67,0.18,58.12,2,159.3,90.0,True,0.0,0.0
2024-08,AS-A4,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,1.26,0.6,0.6,0.2,36.51,2,113.4,90.0,True,0.0,0.0
2024-11,AS-A4,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,1.07,0.92,0.92,0.26,44.13,2,96.3,90.0,True,0.0,0.0
2024-12,AS-A4,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,1.22,0.76,0.76,0.16,69.95,1,109.8,90.0,True,0.0,0.0
2025-01,AS-A4,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,1.01,0.69,0.69,0.15,86.0,2,90.9,90.0,True,0.0,0.0
2025-04,AS-A4,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,2,2.07,1.55,0.78,0.26,58.63,2,186.3,90.0,True,0.0,0.0
2024-03,AS-A4,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,1.51,0.6,0.6,0.18,121.32,3,135.9,90.0,True,0.0,0.0
2024-06,AS-A4,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,1.12,0.62,0.62,0.12,92.32,3,100.8,90.0,True,0.0,0.0
2024-07,AS-A4,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,2,2.49,1.46,0.73,0.12,98.36,3,224.1,90.0,True,0.0,0.0
2024-09,AS-A4,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,1.15,0.83,0.83,0.21,74.73,3,103.5,90.0,True,0.0,0.0
2024-12,AS-A4,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,2,2.39,1.51,0.75,0.17,113.67,2,215.1,90.0,True,0.0,0.0
2025-01,AS-A4,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,1.21,0.58,0.58,0.1,114.23,2,108.9,90.0,True,0.0,0.0
2025-02,AS-A4,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,1.12,0.66,0.66,0.12,76.72,3,100.8,90.0,True,0.0,0.0
2025-03,AS-A4,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,1.29,0.73,0.73,0.12,73.32,2,116.1,90.0,True,0.0,0.0
2025-04,AS-A4,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,0.82,0.75,0.75,0.14,81.04,4,73.8,90.0,True,0.0,0.0
2024-02,AS-A4,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.91,0.72,0.72,0.04,41.98,1,81.9,90.0,True,0.0,0.0
2024-03,AS-A4,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,2,1.64,1.69,0.84,0.11,18.07,1,147.6,90.0,True,0.0,0.0
2024-04,AS-A4,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,1.07,0.74,0.74,0.04,16.32,2,96.3,90.0,True,0.0,0.0
2024-06,AS-A4,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,2,1.91,1.79,0.9,0.06,26.81,2,171.9,90.0,True,0.0,0.0
2024-08,AS-A4,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.67,0.71,0.71,0.1,25.46,2,60.3,90.0,True,0.0,0.0
2025-01,AS-A4,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,2,1.73,1.74,0.87,0.1,25.37,1,155.7,90.0,True,0.0,0.0
2025-02,AS-A4,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.73,0.65,0.65,0.05,32.39,2,65.7,90.0,True,0.0,0.0
2024-02,AS-A4,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.77,0.46,0.46,0.18,96.17,4,69.3,90.0,True,0.0,0.0
2024-03,AS-A4,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,1.16,0.87,0.87,0.25,68.42,3,104.4,90.0,True,0.0,0.0
2024-04,AS-A4,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,1.07,0.69,0.69,0.26,82.77,4,96.3,90.0,True,0.0,0.0
2024-06,AS-A4,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.5,0.86,0.86,0.26,113.45,3,45.0,90.0,True,0.0,0.0
2024-09,AS-A4,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,1.32,0.58,0.58,0.22,122.97,3,118.8,90.0,True,0.0,0.0
2024-10,AS-A4,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,0.94,0.52,0.52,0.11,100.97,4,84.6,90.0,True,0.0,0.0
2024-12,AS-A4,Alpha,Assembly,Assembly Station,sensor_package,electrical,electrical,proximity_sensor,1,1.29,0.68,0.68,0.17,73.99,5,116.1,90.0,True,0.0,0.0
