date,vsm,shift,planned_hrs,actual_hrs,units_produced,units_rejected,oee_pct
2024-01-16,Beta,Day,8.0,6.73,382,13,68.7
2024-01-16,Beta,Evening,8.0,7.59,395,12,69.6
2024-01-16,Beta,Night,8.0,6.81,393,9,70.7
2024-01-16,Gamma,Day,8.0,6.83,335,14,70.6
2024-01-16,Gamma,Evening,8.0,7.0,425,16,68.7
2024-01-16,Gamma,Night,8.0,6.49,366,18,74.9
2024-01-17,Alpha,Day,8.0,7.51,402,7,85.0
2024-01-17,Alpha,Evening,8.0,7.69,427,8,87.6
2024-01-17,Alpha,Night,8.0,7.31,358,5,86.0
2024-01-17,Beta,Day,8.0,7.21,409,10,76.0
2024-01-17,Beta,Evening,8.0,7.26,393,10,72.1
2024-01-17,Beta,Night,8.0,7.37,425,8,72.4
2024-01-17,Gamma,Day,8.0,6.96,377,18,69.4
2024-01-17,Gamma,Evening,8.0,7.05,339,17,70.3
2024-01-17,Gamma,Night,8.0,6.84,350,16,70.2
2024-01-18,Alpha,Day,8.0,7.18,420,10,85.8
2024-01-18,Alpha,Evening,8.0,7.55,359,3,89.9
2024-01-18,Alpha,Night,8.0,7.35,362,3,83.7
2024-01-18,Beta,Day,8.0,6.93,378,14,67.0
2024-01-18,Beta,Evening,8.0,7.04,420,15,78.8
2024-01-18,Beta,Night,8.0,7.02,365,12,74.3
2024-01-18,Gamma,Day,8.0,7.11,403,19,71.7
2024-01-18,Gamma,Evening,8.0,6.94,318,13,71.3
2024-01-18,Gamma,Night,8.0,6.62,350,17,68.6
2024-01-19,Alpha,Day,8.0,7.46,391,7,87.1
2024-01-19,Alpha,Evening,8.0,7.49,361,8,89.9
2024-01-19,Alpha,Night,8.0,7.6,384,6,88.0
2024-01-19,Beta,Day,8.0,7.29,396,11,74.9
2024-01-19,Beta,Evening,8.0,7.4,400,10,82.0
2024-01-19,Beta,Night,8.0,7.12,348,15,72.4
2024-01-19,Gamma,Day,8.0,6.64,346,14,71.0
2024-01-19,Gamma,Evening,8.0,6.81,358,14,71.3
2024-01-19,Gamma,Night,8.0,7.03,332,12,71.8
2024-01-20,Alpha,Day,8.0,7.29,359,7,91.3
2024-01-20,Alpha,Evening,8.0,7.03,464,9,81.3
2024-01-20,Alpha,Night,8.0,7.41,374,8,79.3
2024-01-20,Beta,Day,8.0,7.44,360,13,71.6
2024-01-20,Beta,Evening,8.0,7.17,394,13,75.0
2024-01-20,Beta,Night,8.0,7.34,425,14,74.1
2024-01-20,Gamma,Day,8.0,6.78,380,21,75.3
2024-01-20,Gamma,Evening,8.0,6.76,347,16,70.7
2024-01-20,Gamma,Night,8.0,6.54,349,11,71.6
2024-01-21,Alpha,Day,8.0,7.91,423,7,89.6
2024-01-21,Alpha,Evening,8.0,7.55,354,7,82.9
2024-01-21,Alpha,Night,8.0,7.4,340,5,82.7
2024-01-21,Beta,Day,8.0,6.9,396,12,71.1
2024-01-21,Beta,Evening,8.0,7.13,390,12,73.4
2024-01-21,Beta,Night,8.0,6.75,330,8,71.6
2024-01-21,Gamma,Day,8.0,7.16,346,13,69.3
2024-01-21,Gamma,Evening,8.0,6.81,363,14,70.9
2024-01-21,Gamma,Night,8.0,6.98,382,14,66.5
2024-01-22,Alpha,Day,8.0,7.94,454,9,86.5
2024-01-22,Alpha,Evening,8.0,6.93,366,4,87.4
2024-01-22,Alpha,Night,8.0,7.52,447,8,83.3
2024-01-22,Beta,Day,8.0,7.13,413,10,73.5
2024-01-22,Beta,Evening,8.0,6.96,396,14,77.2
2024-01-22,Beta,Night,8.0,7.07,357,12,71.5
2024-01-22,Gamma,Day,8.0,7.15,334,15,69.5
2024-01-22,Gamma,Evening,8.0,6.82,363,12,71.9
2024-01-22,Gamma,Night,8.0,6.86,345,12,73.6
2024-01-23,Alpha,Day,8.0,7.33,344,4,83.2
2024-01-23,Alpha,Evening,8.0,7.49,447,10,84.5
2024-01-23,Alpha,Night,8.0,7.62,394,5,91.0
2024-01-23,Beta,Day,8.0,6.82,332,5,73.7
2024-01-23,Beta,Evening,8.0,6.6,314,10,73.1
2024-01-23,Beta,Night,8.0,6.99,365,12,70.5
2024-01-23,Gamma,Day,8.0,6.63,333,14,69.3
2024-01-23,Gamma,Evening,8.0,6.84,346,13,69.0
2024-01-23,Gamma,Night,8.0,6.78,386,17,71.5
2024-01-24,Alpha,Day,8.0,7.99,393,3,86.2
2024-01-24,Alpha,Evening,8.0,7.59,480,10,86.4
2024-01-24,Alpha,Night,8.0,7.79,389,7,87.3
2024-01-24,Beta,Day,8.0,6.8,346,9,78.7
2024-01-24,Beta,Evening,8.0,7.11,353,12,78.2
2024-01-24,Beta,Night,8.0,6.97,389,12,68.8
2024-01-24,Gamma,Day,8.0,7.06,353,12,70.0
2024-01-24,Gamma,Evening,8.0,6.78,368,15,66.1
2024-01-24,Gamma,Night,8.0,6.53,338,15,65.4
2024-01-25,Alpha,Day,8.0,8.0,415,4,87.7
2024-01-25,Alpha,Evening,8.0,7.49,429,7,88.7
2024-01-25,Alpha,Night,8.0,7.61,388,6,86.2
2024-01-25,Beta,Day,8.0,6.79,367,10,73.2
2024-01-25,Beta,Evening,8.0,6.68,350,11,69.9
2024-01-25,Beta,Night,8.0,7.1,414,11,78.8
2024-01-25,Gamma,Day,8.0,6.38,343,16,65.1
2024-01-25,Gamma,Evening,8.0,6.64,358,18,71.3
2024-01-25,Gamma,Night,8.0,6.5,355,16,67.1
2024-01-26,Alpha,Day,8.0,7.15,358,8,85.5
2024-01-26,Alpha,Evening,8.0,7.49,425,8,90.1
2024-01-26,Alpha,Night,8.0,7.64,420,6,88.4
2024-01-26,Beta,Day,8.0,7.33,365,11,78.9
2024-01-26,Beta,Evening,8.0,6.99,398,17,74.0
2024-01-26,Beta,Night,8.0,7.44,374,11,77.5
2024-01-26,Gamma,Day,8.0,6.74,332,16,71.0
2024-01-26,Gamma,Evening,8.0,7.04,363,19,78.4
2024-01-26,Gamma,Night,8.0,6.48,330,15,70.3
2024-01-27,Alpha,Day,8.0,7.57,382,13,92.7
2024-01-27,Alpha,Evening,8.0,7.91,455,9,86.9
2024-01-27,Alpha,Night,8.0,7.14,299,4,85.4
2024-01-27,Beta,Day,8.0,7.11,352,10,75.4
2024-01-27,Beta,Evening,8.0,6.8,357,12,74.0
2024-01-27,Beta,Night,8.0,7.04,429,12,77.8
2024-01-27,Gamma,Day,8.0,6.46,362,15,62.7
2024-01-27,Gamma,Evening,8.0,6.42,383,17,65.9
2024-01-27,Gamma,Night,8.0,6.77,389,14,72.2
2024-01-28,Alpha,Day,8.0,7.78,370,6,93.1
2024-01-28,Alpha,Evening,8.0,7.12,397,3,88.1
2024-01-28,Alpha,Night,8.0,7.96,369,8,88.7
2024-01-28,Beta,Day,8.0,6.94,325,8,72.0
2024-01-28,Beta,Evening,8.0,7.33,390,12,73.9
2024-01-28,Beta,Night,8.0,6.67,376,12,76.2
2024-01-28,Gamma,Day,8.0,6.57,351,16,68.7
2024-01-28,Gamma,Evening,8.0,6.83,379,17,73.2
2024-01-28,Gamma,Night,8.0,6.67,361,13,72.4
2024-01-29,Alpha,Day,8.0,7.13,328,5,82.6
2024-01-29,Alpha,Evening,8.0,7.42,350,5,90.9
2024-01-29,Alpha,Night,8.0,7.19,355,7,84.7
2024-01-29,Beta,Day,8.0,6.47,298,9,72.9
2024-01-29,Beta,Evening,8.0,7.13,381,11,72.7
2024-01-29,Beta,Night,8.0,7.27,336,12,73.9
2024-01-29,Gamma,Day,8.0,7.25,350,16,70.5
2024-01-29,Gamma,Evening,8.0,6.55,344,15,67.5
2024-01-29,Gamma,Night,8.0,6.47,311,12,68.8
2024-01-30,Alpha,Day,8.0,7.36,393,9,86.2
2024-01-30,Alpha,Evening,8.0,7.78,428,6,91.2
2024-01-30,Alpha,Night,8.0,7.5,392,9,87.8
2024-01-30,Beta,Day,8.0,6.65,324,9,82.9
2024-01-30,Beta,Evening,8.0,7.04,374,17,67.9
2024-01-30,Beta,Night,8.0,6.96,341,13,70.0
2024-01-30,Gamma,Day,8.0,6.61,325,13,71.7
2024-01-30,Gamma,Evening,8.0,6.67,353,17,62.7
2024-01-30,Gamma,Night,8.0,6.61,392,15,70.2
2024-01-31,Alpha,Day,8.0,7.46,386,2,89.6
2024-01-31,Alpha,Evening,8.0,7.59,316,6,90.9
2024-01-31,Alpha,Night,8.0,7.32,361,6,93.1
2024-01-31,Beta,Day,8.0,7.03,394,11,75.3
2024-01-31,Beta,Evening,8.0,6.76,317,9,76.5
2024-01-31,Beta,Night,8.0,7.3,405,11,72.0
2024-01-31,Gamma,Day,8.0,6.83,353,17,68.5
2024-01-31,Gamma,Evening,8.0,6.87,346,16,71.8
2024-01-31,Gamma,Night,8.0,6.82,324,16,69.1
2024-02-01,Alpha,Day,8.0,7.41,364,7,89.3
2024-02-01,Alpha,Evening,8.0,7.57,396,8,88.4
2024-02-01,Alpha,Night,8.0,7.63,395,10,83.4
2024-02-01,Beta,Day,8.0,7.11,349,11,69.2
2024-02-01,Beta,Evening,8.0,7.07,367,13,71.5
2024-02-01,Beta,Night,8.0,7.29,403,15,73.5
2024-02-01,Gamma,Day,8.0,6.49,338,15,71.3
2024-02-01,Gamma,Evening,8.0,6.36,305,11,76.3
2024-02-01,Gamma,Night,8.0,7.24,336,14,71.9
2024-02-02,Alpha,Day,8.0,7.44,335,7,83.0
2024-02-02,Alpha,Evening,8.0,7.4,392,7,88.3
2024-02-02,Alpha,Night,8.0,7.57,415,7,79.8
2024-02-02,Beta,Day,8.0,6.9,383,11,68.7
2024-02-02,Beta,Evening,8.0,7.24,349,9,74.8
2024-02-02,Beta,Night,8.0,7.1,353,15,73.1
2024-02-02,Gamma,Day,8.0,6.86,369,15,65.2
2024-02-02,Gamma,Evening,8.0,6.82,378,16,76.2
2024-02-02,Gamma,Night,8.0,6.99,360,20,71.7
2024-02-03,Alpha,Day,8.0,7.51,434,7,90.8
2024-02-03,Alpha,Evening,8.0,7.49,329,6,85.8
2024-02-03,Alpha,Night,8.0,7.62,411,12,83.0
2024-02-03,Beta,Day,8.0,6.97,396,12,68.4
2024-02-03,Beta,Evening,8.0,6.47,339,10,64.0
2024-02-03,Beta,Night,8.0,6.55,357,10,75.4
2024-02-03,Gamma,Day,8.0,6.62,311,13,68.1
2024-02-03,Gamma,Evening,8.0,6.88,373,17,66.2
2024-02-03,Gamma,Night,8.0,6.62,299,14,68.0
2024-02-04,Alpha,Day,8.0,7.82,409,7,85.8
2024-02-04,Alpha,Evening,8.0,7.65,321,6,84.6
2024-02-04,Alpha,Night,8.0,7.49,370,2,94.4
2024-02-04,Beta,Day,8.0,7.25,373,8,72.1
2024-02-04,Beta,Evening,8.0,6.99,422,12,76.2
2024-02-04,Beta,Night,8.0,7.02,372,14,71.4
2024-02-04,Gamma,Day,8.0,6.73,340,18,73.0
2024-02-04,Gamma,Evening,8.0,6.53,350,15,69.9
2024-02-04,Gamma,Night,8.0,6.16,353,15,72.6
2024-02-05,Alpha,Day,8.0,7.41,360,6,88.2
2024-02-05,Alpha,Evening,8.0,7.08,357,8,83.3
2024-02-05,Alpha,Night,8.0,7.19,380,3,88.9
2024-02-05,Beta,Day,8.0,7.31,406,10,67.8
2024-02-05,Beta,Evening,8.0,7.01,340,10,72.6
2024-02-05,Beta,Night,8.0,6.45,320,9,73.8
2024-02-05,Gamma,Day,8.0,6.57,335,13,66.8
2024-02-05,Gamma,Evening,8.0,7.09,366,17,62.8
2024-02-05,Gamma,Night,8.0,6.83,318,12,79.5
2024-02-06,Alpha,Day,8.0,7.15,377,7,85.6
2024-02-06,Alpha,Evening,8.0,7.71,361,6,89.5
2024-02-06,Alpha,Night,8.0,7.7,343,8,86.6
2024-02-06,Beta,Day,8.0,7.41,374,12,75.7
2024-02-06,Beta,Evening,8.0,7.13,405,13,77.8
2024-02-06,Beta,Night,8.0,6.86,353,11,72.1
2024-02-06,Gamma,Day,8.0,7.06,393,17,69.7
2024-02-06,Gamma,Evening,8.0,6.92,352,16,68.4
2024-02-06,Gamma,Night,8.0,7.03,415,21,67.5
2024-02-07,Alpha,Day,8.0,7.36,375,7,87.8
2024-02-07,Alpha,Evening,8.0,7.63,409,7,87.2
2024-02-07,Alpha,Night,8.0,7.79,419,5,87.8
2024-02-07,Beta,Day,8.0,7.1,371,13,70.0
2024-02-07,Beta,Evening,8.0,7.4,335,9,69.0
2024-02-07,Beta,Night,8.0,7.26,402,13,71.9
2024-02-07,Gamma,Day,8.0,6.72,357,18,72.1
2024-02-07,Gamma,Evening,8.0,6.96,348,15,72.4
2024-02-07,Gamma,Night,8.0,7.1,356,16,63.9
2024-02-08,Alpha,Day,8.0,7.45,438,8,82.6
2024-02-08,Alpha,Evening,8.0,7.65,418,2,92.4
2024-02-08,Alpha,Night,8.0,7.37,423,7,87.2
2024-02-08,Beta,Day,8.0,6.96,272,6,75.6
2024-02-08,Beta,Evening,8.0,7.06,365,12,71.4
2024-02-08,Beta,Night,8.0,6.85,395,9,78.6
2024-02-08,Gamma,Day,8.0,6.55,389,19,71.1
2024-02-08,Gamma,Evening,8.0,6.99,346,15,71.4
2024-02-08,Gamma,Night,8.0,7.0,348,13,75.1
2024-02-09,Alpha,Day,8.0,7.42,341,9,81.7
2024-02-09,Alpha,Evening,8.0,7.53,391,5,88.0
2024-02-09,Alpha,Night,8.0,7.16,403,8,85.6
2024-02-09,Beta,Day,8.0,6.99,357,10,71.8
2024-02-09,Beta,Evening,8.0,6.89,351,10,75.1
2024-02-09,Beta,Night,8.0,6.82,345,10,69.5
2024-02-09,Gamma,Day,8.0,6.6,357,15,70.2
2024-02-09,Gamma,Evening,8.0,6.83,384,13,67.4
2024-02-09,Gamma,Night,8.0,6.55,328,17,69.8
2024-02-10,Alpha,Day,8.0,7.19,377,5,89.5
2024-02-10,Alpha,Evening,8.0,7.39,374,6,87.4
2024-02-10,Alpha,Night,8.0,7.3,387,6,84.6
2024-02-10,Beta,Day,8.0,7.14,372,9,76.3
2024-02-10,Beta,Evening,8.0,7.3,377,14,73.0
2024-02-10,Beta,Night,8.0,6.59,323,9,76.0
2024-02-10,Gamma,Day,8.0,7.22,402,18,60.2
2024-02-10,Gamma,Evening,8.0,6.3,301,15,67.8
2024-02-10,Gamma,Night,8.0,6.62,368,17,69.7
2024-02-11,Alpha,Day,8.0,7.32,382,9,90.1
2024-02-11,Alpha,Evening,8.0,7.28,380,7,88.3
2024-02-11,Alpha,Night,8.0,7.11,356,5,85.5
2024-02-11,Beta,Day,8.0,7.36,408,12,75.1
2024-02-11,Beta,Evening,8.0,7.03,382,10,71.6
2024-02-11,Beta,Night,8.0,6.95,360,14,75.8
2024-02-11,Gamma,Day,8.0,7.3,377,16,66.7
2024-02-11,Gamma,Evening,8.0,6.9,352,13,68.3
2024-02-11,Gamma,Night,8.0,6.48,372,18,71.1
2024-02-12,Alpha,Day,8.0,7.5,389,6,86.1
2024-02-12,Alpha,Evening,8.0,7.71,374,9,87.0
2024-02-12,Alpha,Night,8.0,7.59,391,6,85.2
2024-02-12,Beta,Day,8.0,6.98,338,10,75.1
2024-02-12,Beta,Evening,8.0,7.25,424,12,80.9
2024-02-12,Beta,Night,8.0,7.32,378,14,71.7
2024-02-12,Gamma,Day,8.0,7.18,334,14,71.2
2024-02-12,Gamma,Evening,8.0,6.45,338,16,67.8
2024-02-12,Gamma,Night,8.0,6.9,377,16,70.4
2024-02-13,Alpha,Day,8.0,7.61,395,9,85.4
2024-02-13,Alpha,Evening,8.0,7.9,388,7,87.1
2024-02-13,Alpha,Night,8.0,7.65,326,4,82.5
2024-02-13,Beta,Day,8.0,7.15,376,11,74.1
2024-02-13,Beta,Evening,8.0,7.16,401,14,64.8
2024-02-13,Beta,Night,8.0,6.92,339,8,76.6
2024-02-13,Gamma,Day,8.0,7.02,372,20,67.7
2024-02-13,Gamma,Evening,8.0,6.39,349,16,70.8
2024-02-13,Gamma,Night,8.0,6.37,342,13,67.1
2024-02-14,Alpha,Day,8.0,7.8,406,10,83.3
2024-02-14,Alpha,Evening,8.0,7.24,327,4,85.6
2024-02-14,Alpha,Night,8.0,7.43,341,6,92.0
2024-02-14,Beta,Day,8.0,7.13,337,8,76.3
2024-02-14,Beta,Evening,8.0,7.15,426,12,77.9
2024-02-14,Beta,Night,8.0,6.99,394,15,78.4
2024-02-14,Gamma,Day,8.0,7.09,389,16,62.2
2024-02-14,Gamma,Evening,8.0,6.96,359,15,74.0
2024-02-14,Gamma,Night,8.0,6.89,404,18,69.1
2024-02-15,Alpha,Day,8.0,7.45,402,7,81.9
2024-02-15,Alpha,Evening,8.0,7.22,400,11,90.1
2024-02-15,Alpha,Night,8.0,7.63,458,8,83.8
2024-02-15,Beta,Day,8.0,7.02,412,14,71.2
2024-02-15,Beta,Evening,8.0,7.26,362,14,76.6
2024-02-15,Beta,Night,8.0,7.29,374,11,70.2
2024-02-15,Gamma,Day,8.0,6.66,336,14,67.4
2024-02-15,Gamma,Evening,8.0,6.71,380,17,72.8
2024-02-15,Gamma,Night,8.0,6.99,408,14,76.6
2024-02-16,Alpha,Day,8.0,8.0,369,5,94.4
2024-02-16,Alpha,Evening,8.0,7.31,373,9,89.1
2024-02-16,Alpha,Night,8.0,7.86,386,5,89.4
2024-02-16,Beta,Day,8.0,6.99,373,13,73.5
2024-02-16,Beta,Evening,8.0,6.68,330,10,74.1
2024-02-16,Beta,Night,8.0,7.52,365,11,74.9
2024-02-16,Gamma,Day,8.0,6.66,329,19,71.8
2024-02-16,Gamma,Evening,8.0,6.94,372,22,66.4
2024-02-16,Gamma,Night,8.0,6.52,346,13,73.1
2024-02-17,Alpha,Day,8.0,7.47,373,7,81.9
2024-02-17,Alpha,Evening,8.0,7.3,389,6,85.0
2024-02-17,Alpha,Night,8.0,7.36,360,3,81.6
2024-02-17,Beta,Day,8.0,6.83,411,12,82.3
2024-02-17,Beta,Evening,8.0,6.69,261,9,70.8
2024-02-17,Beta,Night,8.0,7.25,433,14,66.7
2024-02-17,Gamma,Day,8.0,6.42,385,21,70.5
2024-02-17,Gamma,Evening,8.0,6.82,312,15,71.0
2024-02-17,Gamma,Night,8.0,6.55,385,21,66.8
2024-02-18,Alpha,Day,8.0,7.27,420,6,82.7
2024-02-18,Alpha,Evening,8.0,7.05,388,5,90.2
2024-02-18,Alpha,Night,8.0,7.96,430,9,89.2
2024-02-18,Beta,Day,8.0,7.09,382,11,73.4
2024-02-18,Beta,Evening,8.0,6.8,389,11,69.5
2024-02-18,Beta,Night,8.0,7.34,359,11,73.0
2024-02-18,Gamma,Day,8.0,7.0,361,15,67.8
2024-02-18,Gamma,Evening,8.0,6.67,387,18,77.1
2024-02-18,Gamma,Night,8.0,6.94,376,17,70.6
2024-02-19,Alpha,Day,8.0,7.54,401,3,81.0
2024-02-19,Alpha,Evening,8.0,7.5,401,6,91.6
2024-02-19,Alpha,Night,8.0,7.66,410,4,81.1
2024-02-19,Beta,Day,8.0,6.93,348,9,73.1
2024-02-19,Beta,Evening,8.0,7.04,304,9,71.1
2024-02-19,Beta,Night,8.0,7.27,386,14,74.7
2024-02-19,Gamma,Day,8.0,6.23,328,15,70.1
2024-02-19,Gamma,Evening,8.0,6.28,300,15,67.6
